"","X","Station","Lat","Long","MAP"
"107",107,"PEC01",-13.328052,-61.957745,126.166666666667
"108",108,"PEC02",-13.336015,-61.976232,125.583333333333
"109",109,"PEC03",-13.400532,-61.874239,126.25
"110",110,"PEC04",-13.398672,-61.892351,126.083333333333
"111",111,"PEC05",-13.420222,-61.886192,125.666666666667
"112",112,"PEC06",-13.423454,-61.908666,125.083333333333
"113",113,"PEC07",-13.477111,-61.836568,125.75
"114",114,"PEC08",-13.494269,-61.839595,125.5
"115",115,"PEC09",-13.480659,-61.861692,125.333333333333
"116",116,"PEC10",-13.50243,-61.863907,124.916666666667
"117",117,"PEC11",-13.304233,-62.020189,125.5
"118",118,"PEC12",-13.322405,-62.015363,125.416666666667
"119",119,"PEC13",-13.337222,-61.999239,125.166666666667
"120",120,"PEC14",-13.357587,-61.988522,125
"121",121,"PEC15",-13.373448,-61.952899,125.416666666667
"122",122,"PEC16",-13.383149,-61.914761,126.333333333333
"123",123,"PEC17",-13.354292,-61.943432,125.916666666667
"124",124,"PEC18",-13.368613,-61.902123,126.083333333333
"125",125,"PEC19",-13.431714,-61.854246,126.5
"126",126,"PEC20",-13.438751,-61.878433,125.5
"127",127,"PEC21",-13.245876,-62.09523,124.833333333333
"128",128,"PEC22",-13.277738,-62.072257,124.583333333333
"129",129,"PEC36EX",-13.15889,-61.630611,131.5
"130",130,"PEC44EX",-13.097769,-61.518375,132
"131",131,"PEC50",-13.186042,-61.25645,137.083333333333
"132",132,"PEC56",-13.143332,-61.371818,133.916666666667
"133",133,"PEC59",-13.122527,-61.628758,130.583333333333
"134",134,"PEC60",-13.109039,-61.628237,130.5
"135",135,"PEC61",-13.165451,-61.673907,129.75
"136",136,"PEC66",-13.208754,-61.739573,129.75
"137",137,"PEC69",-13.194477,-61.698435,130.333333333333
"138",138,"PEC76",-13.121262,-61.45486,132.916666666667
"139",139,"RBG00",-12.549831,-63.435928,125.416666666667
"140",140,"RBG10",-12.376269,-63.468224,127.416666666667
"141",141,"RBG12",-12.394347,-63.458255,127.333333333333
"142",142,"RBG21",-12.303438,-63.346578,128.416666666667
"143",143,"RBG22",-12.29426,-63.315296,129
"144",144,"RBG23",-12.308763,-63.321249,128.333333333333
"145",145,"RBG26",-12.334778,-63.325406,127.833333333333
"146",146,"RBG24",-12.322012,-63.314734,128.166666666667
"147",147,"RBG25",-12.332126,-63.297824,128.083333333333
"148",148,"RBG27",-12.346984,-63.313226,127.75
"149",149,"RBG28",-12.347702,-63.287797,128.083333333333
"150",150,"RBG29",-12.314524,-63.336543,128.083333333333
"151",151,"RBG30",-12.301138,-63.244523,128.583333333333
"152",152,"RBG31",-12.317907,-63.236609,128.416666666667
"153",153,"RBG32",-12.335155,-63.239459,128.333333333333
"154",154,"RBG33",-12.334878,-63.220402,128.75
"155",155,"RBG34",-12.317431,-63.25571,128.5
"156",156,"RBG35",-12.326922,-63.276976,128.166666666667
"157",157,"RBG36",-12.286028,-63.233666,128.833333333333
"158",158,"RBG37",-12.303103,-63.25502,128.583333333333
"159",159,"RBG38",-12.320746,-63.376997,128.333333333333
"160",160,"RBG39",-12.340336,-63.370823,127.75
"161",161,"RBG40",-12.318994,-63.360404,127.833333333333
"162",162,"RBG41",-12.556786,-63.439165,125.166666666667
"163",163,"RBG42",-12.540374,-63.431624,125.916666666667
"164",164,"RBG43",-12.568537,-63.425028,125.083333333333
"165",165,"RBG44",-12.550222,-63.414319,125.75
"166",166,"RBG45",-12.553224,-63.39196,125.916666666667
"167",167,"RBG46",-12.557167,-63.457458,125
"168",168,"RBG47",-12.555819,-63.475403,125.083333333333
"169",169,"RBG48",-12.539097,-63.448927,126.166666666667
"170",170,"RBG54",-12.538747,-63.399795,125.833333333333
"171",171,"RBG60",-12.568403,-63.21356,127.25
"172",172,"RBG61",-12.568749,-63.232696,127.083333333333
"173",173,"RBG63",-12.570261,-63.249634,127.25
"174",174,"RBG65",-12.55408,-63.24052,127.75
"175",175,"RBG66",-12.549829,-63.226998,127.583333333333
"176",176,"RBG67",-12.551489,-63.205205,128.666666666667
"177",177,"RBG70",-12.535981,-63.230252,127.5
"178",178,"RBG75",-12.553764,-63.273438,127.5
"179",179,"RBG80",-12.555822,-63.308208,127.583333333333
"180",180,"RBG81",-12.541601,-63.315,127.666666666667
"181",181,"RBG83",-12.56485,-63.264215,127.416666666667
"182",182,"RBG84",-12.632989,-63.397738,125
