"","cent.Species","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"2076","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2080","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2081","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2085","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2088","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2093","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2132","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2148","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2162","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2165","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2168","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2171","Leopardus pardalis","A17-18",9.3261,-83.6218,TRUE
"2214","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2224","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2229","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2238","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2313","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2317","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2328","Leopardus pardalis","A1-2",9.3367,-83.6287,TRUE
"2537","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2538","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2540","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2546","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2548","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2549","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2550","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2557","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2561","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2562","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2563","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2565","Leopardus pardalis","A7-8",9.3261,-83.6218,TRUE
"2658","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2661","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2663","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2665","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2667","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2668","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2672","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"2675","Leopardus pardalis","A9-10",9.3309,-83.6261,TRUE
"3511","Leopardus pardalis","C11-12",9.4294,-83.5094,TRUE
"3580","Leopardus pardalis","C11-12",9.4294,-83.5094,TRUE
"4878","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"4899","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5007","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5010","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5016","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5035","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5048","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"5066","Leopardus pardalis","C15-16",9.389,-83.4975,TRUE
"8337","Leopardus pardalis","C9-10R",9.463,-83.5013,TRUE
"8339","Leopardus pardalis","C9-10R",9.463,-83.5013,TRUE
"8359","Leopardus pardalis","C9-10R",9.463,-83.5013,TRUE
"9312","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9315","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9320","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9332","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9337","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9353","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9364","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9403","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9404","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9406","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9407","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9408","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9409","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9410","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9411","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9413","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9417","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9419","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9420","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9422","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9423","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9424","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9425","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9426","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9427","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9430","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9431","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9433","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9434","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9435","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9436","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9437","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9438","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9439","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9442","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9444","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9445","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9450","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9452","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9453","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9454","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9455","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9456","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9458","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9459","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9463","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9464","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9465","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9469","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9470","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9471","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9472","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9473","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9475","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9476","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9477","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9480","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9481","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9482","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9483","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9484","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9487","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9488","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"9490","Leopardus pardalis","Molina",9.3607,-83.597,TRUE
"10446","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10448","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
"10451","Leopardus pardalis","VM28",9.5633,-83.6868,TRUE
