"","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"132","A1-2",9.3261,-83.6218,TRUE
"133","A1-2",9.3261,-83.6218,TRUE
"134","A1-2",9.3261,-83.6218,TRUE
"135","A1-2",9.3261,-83.6218,TRUE
"136","A1-2",9.3261,-83.6218,TRUE
"137","A1-2",9.3261,-83.6218,TRUE
"138","A1-2",9.3261,-83.6218,TRUE
"139","A1-2",9.3261,-83.6218,TRUE
"140","A1-2",9.3261,-83.6218,TRUE
"141","A1-2",9.3261,-83.6218,TRUE
"142","A1-2",9.3261,-83.6218,TRUE
"143","A1-2",9.3261,-83.6218,TRUE
"144","A1-2",9.3261,-83.6218,TRUE
"145","A1-2",9.3261,-83.6218,TRUE
"146","A1-2",9.3261,-83.6218,TRUE
"147","A1-2",9.3261,-83.6218,TRUE
"148","A1-2",9.3261,-83.6218,TRUE
"149","A1-2",9.3261,-83.6218,TRUE
"150","A1-2",9.3261,-83.6218,TRUE
"151","A1-2",9.3261,-83.6218,TRUE
"152","A1-2",9.3261,-83.6218,TRUE
"153","A1-2",9.3261,-83.6218,TRUE
"154","A1-2",9.3261,-83.6218,TRUE
"155","A1-2",9.3261,-83.6218,TRUE
"156","A1-2",9.3261,-83.6218,TRUE
"157","A1-2",9.3261,-83.6218,TRUE
"158","A1-2",9.3261,-83.6218,TRUE
"159","A1-2",9.3261,-83.6218,TRUE
"160","A1-2",9.3261,-83.6218,TRUE
"161","A1-2",9.3261,-83.6218,TRUE
"162","A1-2",9.3261,-83.6218,TRUE
"163","A1-2",9.3261,-83.6218,TRUE
"164","A1-2",9.3261,-83.6218,TRUE
"165","A1-2",9.3261,-83.6218,TRUE
"166","A1-2",9.3261,-83.6218,TRUE
"167","A1-2",9.3261,-83.6218,TRUE
"168","A1-2",9.3261,-83.6218,TRUE
"169","A1-2",9.3261,-83.6218,TRUE
"170","A1-2",9.3261,-83.6218,TRUE
"171","A1-2",9.3261,-83.6218,TRUE
"172","A1-2",9.3261,-83.6218,TRUE
"173","A1-2",9.3261,-83.6218,TRUE
"174","A1-2",9.3261,-83.6218,TRUE
"175","A1-2",9.3261,-83.6218,TRUE
"176","A1-2",9.3261,-83.6218,TRUE
"177","A1-2",9.3261,-83.6218,TRUE
"178","A1-2",9.3261,-83.6218,TRUE
"179","A1-2",9.3261,-83.6218,TRUE
"180","A1-2",9.3261,-83.6218,TRUE
"181","A1-2",9.3261,-83.6218,TRUE
"182","A1-2",9.3261,-83.6218,TRUE
"183","A1-2",9.3261,-83.6218,TRUE
"184","A1-2",9.3261,-83.6218,TRUE
"185","A1-2",9.3261,-83.6218,TRUE
"186","A1-2",9.3261,-83.6218,TRUE
"187","A1-2",9.3261,-83.6218,TRUE
"188","A1-2",9.3261,-83.6218,TRUE
"189","A1-2",9.3261,-83.6218,TRUE
"190","A1-2",9.3261,-83.6218,TRUE
"191","A1-2",9.3261,-83.6218,TRUE
"192","A1-2",9.3261,-83.6218,TRUE
"193","A1-2",9.3261,-83.6218,TRUE
"194","A1-2",9.3261,-83.6218,TRUE
"195","A1-2",9.3261,-83.6218,TRUE
"196","A1-2",9.3261,-83.6218,TRUE
"197","A1-2",9.3261,-83.6218,TRUE
"198","A1-2",9.3261,-83.6218,TRUE
"199","A1-2",9.3261,-83.6218,TRUE
"200","A1-2",9.3261,-83.6218,TRUE
"201","A1-2",9.3261,-83.6218,TRUE
"202","A1-2",9.3261,-83.6218,TRUE
"203","A1-2",9.3261,-83.6218,TRUE
"204","A1-2",9.3261,-83.6218,TRUE
"205","A1-2",9.3261,-83.6218,TRUE
"206","A1-2",9.3261,-83.6218,TRUE
"207","A1-2",9.3261,-83.6218,TRUE
"208","A1-2",9.3261,-83.6218,TRUE
"209","A1-2",9.3261,-83.6218,TRUE
"210","A1-2",9.3261,-83.6218,TRUE
"211","A1-2",9.3261,-83.6218,TRUE
"212","A1-2",9.3261,-83.6218,TRUE
"213","A1-2",9.3261,-83.6218,TRUE
"214","A1-2",9.3261,-83.6218,TRUE
