"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"56838","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56840","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56843","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56878","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56881","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56907","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56935","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56955","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56956","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56957","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56967","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56976","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"56997","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"57004","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"57027","Leopardus pardalis","8R",9.5486,-83.7915,TRUE
"57185","Leopardus pardalis","8R",9.5486,-83.7916,TRUE
"57186","Leopardus pardalis","8R",9.5486,-83.7916,TRUE
"58280","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58288","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58295","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58299","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58307","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58312","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58326","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58361","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58364","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58366","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58367","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58379","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58387","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58392","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
"58397","Leopardus pardalis","EC13-14",9.7826,-83.7554,TRUE
