"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"SAVEGRE VALLEY WEST23",6,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T1-2",3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,NA,NA,NA,NA
"TAPANTI T03-04",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA
"TAPANTI T5-6",6,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T07-08",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA
"TAPANTI T7-8",5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA
"TAPANTI T9-10",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA
"TAPANTI T13-14",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,NA,NA,NA,NA
"TAPANTI T15-16",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,NA,NA,NA,NA,NA,NA
"TAPANTI T17-18",4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA,NA
"TAPANTI T19-20",3,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T21-22",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,NA,NA,NA,NA
"TAPANTI T23-24",3,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T105",6,7,7,7,7,7,7,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T106",5,7,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAPANTI T107",5,7,7,7,7,7,7,7,7,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
