"","Camr_Nm","Lat","Long","HFI_Value","Elevation","Forest_Cover","Productivity","d.Road","d.River","EdgeDens","PatchDens","DisjCore"
"51","Tapanti T03-04",9.7175,-83.781,7,1573,91.3841698841699,103,0.05369035,0.00025,4.12,1,1
"52","Tapanti T07-08",9.6954,-83.7821,7,1656,90.5250965250965,87,0.073025878,0.005326871,30.36,1,1
"53","Tapanti T1-2",9.729,-83.7763,7,1553,91.5812379110251,103,0.046196533,0.00495,1.77,1.01,1.01
"54","Tapanti T105",9.681,-83.8011,8,2338,88.8310810810811,93,0.053715417,0.022157617,32.41,2.01,1
"55","Tapanti T106",9.6856,-83.795,8,1984,91.5406189555126,87,0.060990884,0.021378195,16.92,0.98,0.98
"56","Tapanti T107",9.6867,-83.7908,8,1846,91.912077294686,87,0.065313934,0.017630529,19.48,0.98,0.98
"57","Tapanti T13-14",9.7082,-83.7917,7,1626,93.2183574879227,103,0.057359097,0.002216667,3.72,0.98,0.98
"58","Tapanti T15-16",9.6872,-83.8686,9,2756,89.8281853281853,93,0.01705788,0.04195535,1.77,1,1
"59","Tapanti T17-18",9.6994,-83.8625,9,2641,89.5077369439072,93,0.027894969,0.03593801,15.33,1,1
"60","Tapanti T19-20",9.712,-83.8577,8,2320,89.7756286266925,101,0.040443755,0.02589291,7.07,1,1
"61","Tapanti T21-22",9.6958,-83.8583,9,2665,89.4328502415459,93,0.024237601,0.040971731,22.92,0.98,0.98
"62","Tapanti T23-24",9.6582,-83.8315,9,2598,89.9506769825919,93,0.019037502,0.042373305,4.72,1,1
"63","Tapanti T5-6",9.7068,-83.7793,7,1525,88.680193236715,103,0.064167871,0.00195,29.76,1,1
"64","Tapanti T7-8",9.6954,-83.7821,7,1656,90.5250965250965,87,0.073025878,0.005326871,30.36,1,1
"65","Tapanti T9-10",9.6963,-83.7714,7,1633,92.1138996138996,87,0.076961014,0.001616667,13.27,1,1
