"Survey","Estacao","Y","X","start","end","X10.29.2020","X10.30.2020","X10.31.2020","X11.1.2020","X11.2.2020","X11.3.2020","X11.4.2020","X11.5.2020","X11.6.2020","X11.7.2020","X11.8.2020","X11.9.2020","X11.10.2020","X11.11.2020","X11.12.2020","X11.13.2020","X11.14.2020","X11.15.2020","X11.16.2020","X11.17.2020","X11.18.2020","X11.19.2020","X11.20.2020","X11.21.2020","X11.22.2020","X11.23.2020","X11.24.2020","X11.25.2020","X11.26.2020","X11.27.2020","X11.28.2020","X11.29.2020","X11.30.2020","X12.1.2020","X12.2.2020","X12.3.2020","X12.4.2020","X12.5.2020","X12.6.2020","X12.7.2020","X12.8.2020","X12.9.2020","X12.10.2020","X12.11.2020","X12.12.2020","X12.13.2020","X12.14.2020"
"GBR","RBG39",-12.340336,-63.370823,"29/10/2020","10/12/2020",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"GBR","RBG40",-12.318994,-63.360404,"31/10/2020","4/12/2020",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"GBR","RBG41",-12.556786,-63.439165,"2/10/2020","9/12/2020",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG42",-12.540374,-63.431624,"3/11/2020","9/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"GBR","RBG43",-12.568537,-63.425028,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG44",-12.550222,-63.414319,"3/11/2020","6/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG45",-12.553224,-63.39196,"1/11/2020","6/12/2020",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"GBR","RBG46",-12.557167,-63.457458,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG47",-12.555819,-63.475403,"3/11/2020","7/12/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"GBR","RBG48",-12.539097,-63.448927,"3/11/2020","15/11/2020",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
