Camera,Start_date,End_date
CTES28,12/15/18,1/2/19
CTES29,12/18/18,1/10/19
CTES31,12/19/18,1/10/19
CTES37,12/12/18,1/10/19
CTES38,12/12/18,1/11/19
CTES39,12/16/18,1/9/19
CTES40,12/12/18,2/6/19
CTES42,12/12/18,1/6/19
CTES43,12/15/18,1/10/19
CTES44,12/12/18,1/25/19
CTES60,12/20/18,1/14/19
CTES61,12/20/19,1/10/19
CTES62,12/20/18,12/27/18
CTES63,12/21/18,1/15/19
CTES64,12/21/18,2/6/19
CTES65,12/21/18,1/16/19
CTES66,12/21/18,1/9/19
CTES67,12/21/18,1/14/19
Ctcarcaca,12/17/18,1/25/19
