Cameraname,StartMonth,StartYear,EndMonth,EndYear
CBQTC1,7,20,9,20
CBQTC2,9,20,12,20
CBQTC5,3,19,6,19
CBQTC6,6,20,9,20
CBQTC7,11,20,2,21
CBQTC8,11,19,2,20
K01,5,19,8,19
K02,9,19,12,19
K03,7,19,10,19
K04,3,20,6,20
K05,4,20,7,20
K06,7,19,10,19
K07,11,18,2,19
K08,7,19,10,19
K09,10,19,12,19
K10,7,20,10,20
PILA01,6,20,9,20
PILA02,1,20,4,20
PILA03,5,20,8,20
PILA04,6,20,9,20
PILA05,12,19,3,20
PILA06,6,20,9,20
PILA07,1,20,4,20
PILA08,1,20,4,20
PILA09,1,20,4,20
PILA10,12,19,2,20
