"","model","formula","p(Eff)","SEp(Eff)","p(Int)","SEp(Int)","psi(Elev)","SEpsi(Elev)","psi(HFI)","SEpsi(HFI)","psi(Int)","SEpsi(Int)","psi(NPP)","SEpsi(NPP)","psi(primForest)","SEpsi(primForest)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","peccmodELHF","~1 ~ Elev + HFI",NA,NA,-3.13038431911649,0.386438887869155,-110.617795792677,181.716236323014,4.59256328887049,19916.8284598763,-8.51005508443277,6602.37724441704,NA,NA,NA,NA,0,2950324667.42944,29.0777699624439,4,26,66.1555399248877,0,0.488062467218587,NA,0.488062467218587
"5","peccmodhfieffele","~Eff ~ HFI + Elev",4.62212268701797,31.1380972731809,-35.3792941780535,217.963673679912,-133.55033921884,276.854262785495,5.24022985931969,23722.7191322502,-10.4312269448266,7863.76158844079,NA,NA,NA,NA,0,208426993711.775,28.3449922998467,5,26,66.6899845996934,0.534444674805655,0.37361321091598,NA,0.861675678134567
"7","peccnpp","~1 ~ NPP",NA,NA,-3.18306111590814,0.461047193002901,NA,NA,NA,NA,-1.02259764171052,1.27905209055296,-6.80224795394941,7.64156848259461,NA,NA,0,364.819759759333,31.5862644255891,3,26,69.1725288511782,3.01698892629045,0.107980314904812,NA,0.969655993039379
"3","pecmod0","~1 ~ 1",NA,NA,-3.14955665617031,0.68730216106386,NA,NA,NA,NA,-0.460695426963761,1.0011604745416,NA,NA,NA,NA,0,8.62915580261235,34.9692263643099,2,26,73.9384527286199,7.78291280373215,0.00996408374767691,NA,0.979620076787056
"2","peccEff","~Eff ~ 1",2.74362473602362,13.0479863022132,-22.2780349654591,91.3433158044031,NA,NA,NA,NA,-0.425477585366169,1.02357912993918,NA,NA,NA,NA,0,2136122.44011095,34.295749818434,3,26,74.5914996368681,8.43595971198036,0.00718836357352626,NA,0.986808440360582
"6","peccprimforest","~1 ~ primForest",NA,NA,-3.14561526078224,0.692781903574034,NA,NA,NA,NA,-0.749370983128969,1.17318955239377,NA,NA,1.30326313503041,1.74431236890017,0,21.9868945231583,34.3159546147042,3,26,74.6319092294084,8.47636930452073,0.00704458158624288,NA,0.993853021946825
"4","peccmodeffhfi","~Eff ~ HFI",2.25536712441477,8.02790667130064,-18.8848671898739,56.2079896262645,NA,NA,1.13318774868258,1.89779840771675,-0.41831119020146,1.42822307676746,NA,NA,NA,NA,0,866395.361370867,33.4522527791128,4,26,74.9045055582257,8.74896563333796,0.00614697805317528,NA,1
