"date","lat","lon","hour","solar"
10-03-06,5.4699782,101.4663839,0.820304748437335,6.28318343757271
10-05-12,5.4699782,101.4663839,3.87026761629743,6.28318448138677
10-04-08,5.4821221,101.4962292,4.78656547359445,6.28318479497898
10-04-16,5.4821221,101.4962292,5.02654824574367,6.28318487711027
10-05-03,5.4821221,101.4962292,5.51524043630208,6.28318504435945
10-05-07,5.4821221,101.4962292,1.7235126363444,6.28318374668502
10-05-07,5.4821221,101.4962292,2.45218759905203,6.28318399606549
10-05-07,5.4821221,101.4962292,5.22289778659303,6.2831849443086
10-05-08,5.4821221,101.4962292,1.98094870101356,6.2831838347895
10-01-22,5.4750182,101.4945023,5.11381470834339,6.2831849069762
9-11-08,5.4721605,101.5034418,1.76714586764426,6.28318376161802
9-11-26,5.4721605,101.5034418,5.90357619487082,6.28318517726282
9-11-27,5.4721605,101.5034418,5.22726110972302,6.2831849458019
10-03-09,5.4826549,101.5513501,5.73340659280137,6.28318511902426
10-03-16,5.4826549,101.5513501,5.37997741927252,6.28318499806727
10-03-19,5.4826549,101.5513501,5.53705705195201,6.28318505182593
10-04-30,5.4826549,101.5513501,1.30463361586576,6.28318360332858
10-05-03,5.4826549,101.5513501,4.36768645311581,6.28318465162254
10-05-03,5.4826549,101.5513501,4.54658270144523,6.28318471284769
9-09-05,5.3157186,101.4526504,5.94284610304069,6.28318519070248
9-09-14,5.3157186,101.4526504,5.76831317784126,6.28318513097063
9-10-25,5.3157186,101.4526504,0.475602221168455,6.28318331960235
10-01-10,5.4629376,101.5091117,5.41488400431241,6.28318501001364
10-01-16,5.4629376,101.5091117,5.18362787842316,6.28318493086894
10-01-25,5.4629376,101.5091117,6.16101225953998,6.28318526536729
10-03-03,5.4558748,101.5112786,5.60687022203178,6.28318507571867
10-03-23,5.4558748,101.5112786,0,6.28318315683302
10-03-23,5.4558748,101.5112786,0.68940505453776,6.28318339277382
10-03-29,5.4558748,101.5112786,6.05192918129034,6.28318522803489
10-04-22,5.4558748,101.5112786,0.973021057986839,6.28318348983807
10-04-24,5.4558748,101.5112786,5.71158997715144,6.28318511155778
10-04-25,5.4558748,101.5112786,0.545415391248228,6.28318334349504
10-02-27,5.4652264,101.5291782,5.29707427980279,6.28318496969464
10-05-10,5.4652264,101.5291782,5.37997741927252,6.28318499806727
10-01-19,5.4546703,101.5210511,5.74649656219133,6.28318512350415
10-04-10,5.465888,101.5416471,5.83376302479105,6.28318515337008
10-04-13,5.465888,101.5416471,5.56760031386191,6.283185062279
10-04-14,5.465888,101.5416471,1.845685683984,6.28318378849732
10-01-09,5.4606835,101.5470023,5.32761754171269,6.28318498014771
10-01-09,5.4606835,101.5470023,5.65923009959161,6.28318509363822
10-01-09,5.4606835,101.5470023,6.0650191506803,6.28318523251478
10-01-11,5.4606835,101.5470023,1.38753675533549,6.28318363170121
10-01-14,5.4606835,101.5470023,1.30027029273578,6.28318360183529
10-01-16,5.4606835,101.5470023,1.19118721448613,6.28318356450288
10-01-17,5.4606835,101.5470023,0.410152374218667,6.28318329720285
10-01-18,5.4606835,101.5470023,1.80641577581413,6.28318377505765
10-01-31,5.4606835,101.5470023,0.418879020478639,6.28318330018945
9-11-14,5.4440777,101.5050598,5.14435797025329,6.28318491742928
9-12-10,5.4440777,101.5050598,4.93928178314395,6.28318484724435
9-12-13,5.4440777,101.5050598,5.03091156887365,6.28318487860357
9-12-17,5.4440777,101.5050598,2.52200076913181,6.28318401995824
9-12-19,5.4440777,101.5050598,6.17846555205993,6.28318527134048
10-01-13,5.4440777,101.5050598,5.6330501608117,6.28318508467845
10-02-03,5.4440777,101.5050598,0.15707963267949,6.28318321059167
10-03-15,5.4441306,101.5287998,1.05592419745657,6.28318351821071
9-11-17,5.4368948,101.5224077,1.47480321793521,6.28318366156717
9-10-30,5.4405408,101.5364893,4.99600498383377,6.28318486665721
9-11-17,5.4405408,101.5364893,5.43233729683235,6.28318501598683
9-12-07,5.4405408,101.5364893,1.31772358525572,6.28318360780849
9-12-07,5.4405408,101.5364893,2.31692458202247,6.28318394977332
9-12-07,5.4405408,101.5364893,5.2621676947629,6.28318495774827
9-12-11,5.4405408,101.5364893,2.23402144255274,6.28318392140069
9-12-10,5.4258658,101.4597997,1.57515964992488,6.28318369591296
9-11-01,5.4221621,101.4638881,1.31336026212573,6.28318360631522
9-11-27,5.4221621,101.4638881,1.12137404440636,6.28318354061016
10-03-22,5.4215936,101.5248222,4.95237175253391,6.28318485172424
10-04-13,5.4215936,101.5248222,5.25344104850293,6.28318495476168
10-03-25,5.4252929,101.5427486,5.0178215994837,6.28318487412368
10-04-04,5.4252929,101.5427486,1.03847090493663,6.28318351223752
10-04-22,5.4248369,101.5645706,1.41371669411541,6.28318364066099
9-10-31,5.4218157,101.5577397,1.55334303427495,6.28318368844651
9-11-08,5.4218157,101.5577397,5.09199809269346,6.28318489950972
9-12-08,5.4218157,101.5577397,5.49778714378214,6.28318503838627
10-01-09,5.4218157,101.5577397,1.74096592886434,6.28318375265821
10-01-10,5.4218157,101.5577397,2.07694180987325,6.28318386764202
10-01-16,5.4218157,101.5577397,5.90357619487082,6.28318517726281
10-01-17,5.4218157,101.5577397,0.0349065850398866,6.28318316877938
10-01-18,5.4218157,101.5577397,1.6013395887048,6.28318370487273
10-01-18,5.4218157,101.5577397,1.67987940504454,6.28318373175206
10-03-15,5.4017688,101.4752017,5.1705379090332,6.28318492638905
10-04-03,5.4017688,101.4752017,5.33198086484268,6.28318498164101
10-04-23,5.4017688,101.4752017,1.59697626557481,6.28318370337943
