,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Ago 2017,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Ago 2018,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Ago 2019,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Ago 2020,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Ago 2021,Sep-21,Oct-21,Nov-21,Dec-21
K7,6,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,10,7,2,3,6,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,2,NA,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,2,1,NA,2,1,3,NA,NA,1,NA,NA,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA01,NA,NA,NA,NA,NA,7,19,15,14,3,3,13,16,11,7,7,14,18,13,17,10,6,8,14,16,7,15,20,9,18,NA,NA,NA,NA,1,12,20,16,9,12,8,12,21,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA02,NA,NA,NA,NA,1,9,5,7,6,7,2,7,9,NA,NA,NA,1,NA,9,16,10,8,10,4,NA,1,1,NA,2,3,NA,NA,NA,NA,3,12,15,15,15,12,16,10,17,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA03,NA,NA,NA,NA,NA,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,4,5,9,6,3,4,3,1,3,NA,NA,7,2,NA,NA,NA,NA,3,10,NA,7,NA,5,13,14,13,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA04,NA,NA,NA,NA,NA,2,2,6,6,3,1,4,3,NA,NA,NA,NA,3,3,2,1,NA,NA,1,3,1,1,2,2,4,NA,NA,NA,NA,NA,5,6,12,2,6,8,11,7,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA05,NA,NA,NA,NA,NA,2,5,7,1,6,5,NA,2,1,4,7,3,3,6,5,5,3,5,5,3,1,4,3,7,3,NA,NA,NA,NA,1,5,8,11,4,4,NA,NA,6,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,2,1,2,NA,NA,NA,NA,NA,2,4,8,2,2,2,3,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,3,4,2,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,5,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,11,9,8,4,NA,6,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,3,4,4,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILA10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,2,2,4,3,1,3,3,4,NA,NA,NA,NA,NA,8,7,15,NA,5,6,4,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
