Cameraname,StartMonth,StartYear,EndMonth,EndYear
RCB1,1,18,4,18
RCB2,6,16,9,18
RCB3,4,16,7,16
RCB4,11,17,2,18
RCB5,11,16,2,17
RCB6,5,16,8,16
LC1,3,17,6,17
LC2,7,17,10,17
LC3,4,17,7,17
LC4,4,17,7,17
LC5,3,17,6,17
PNC1,6,17,7,17
PNC2,12,17,3,18
PNC3,6,17,8,17
PNC4,9,17,11,17
Q1-2,5,17,8,17
Q10,1,17,3,17
Q3,9,16,10,16
Q4,6,17,7,17
Q5-6,5,17,8,17
Q7,5,17,8,17
Q8,7,16,8,16
Q9,1,17,4,17
